Abbreviation,Term,,Abréviation,Terme,
---/I,intérimaire,,A/--,acting,
---/I,par intérim,,A/--,acting,
1 DENT UNIT HQ,1 Dental Unit Headquarters,,QG 1 UNITÉ DENT,Quartier général de la 1re Unité dentaire,
1 R NFLD R Band,"1st Battalion, The Royal Newfoundland Regiment Band",,M/1 R NFLD R,"Musique, 1er Bataillion, The Royal Newfoundland Regiment",
1 RNBR,"1er Bataillon, The Royal New Brunswick Regiment  (Carleton and York)",,1 RNBR,"1st Battalion, The Royal New Brunswick Regiment  (Carleton and York)",
1 RNBR,"1st Battalion, The Royal New Brunswick Regiment  (Carleton and York)",,1 RNBR,"1er Bataillon, The Royal New Brunswick Regiment  (Carleton and York)",
10 Fd Regt,10th Field Regiment,,10 RAC,10e Régiment d'artillerie de campagne,
10 RAC,10e Régiment d'artillerie de campagne,,10 Fd Regt,10th Field Regiment,
11 C Svc S Dét Calgary,11e Centre des Services de santé - Détachement Calgary,,11 H Svcs C Det Calgary,11 Health Services Centre Detachment Calgary,
11 H Svcs C Det Calgary,11 Health Services Centre Detachment Calgary,,11 C Svc S Dét Calgary,11e Centre des Services de santé - Détachement Calgary,
13 MP Pl,13 Military Police Platoon,,13 Pon PM,13e Peloton de police militaire,
13 Pon PM,13e Peloton de police militaire,,13 MP Pl,13 Military Police Platoon,
15 MP Pl,15 Military Police Platoon,,15 Pon PM,15e Peloton de police militaire,
15 Pon PM,15e Peloton de police militaire,,15 MP Pl,15 Military Police Platoon,
2 Cdn Air Div/AFDTDiv,2 Canadian Air Division/Air Force Doctrine and Training Division,,Div DIFA 2 DAC,Division de la doctrine et de l'instruction de la Force aérienne - 2e Division aérienne du Canada,
2 Fd Regt,2nd Field Regiment,,2 RAC,2e Régiment d'artillerie de campagne,
2 RAC,2e Régiment d'artillerie de campagne,,2 Fd Regt,2nd Field Regiment,
2 RNBR,"2e Bataillon, The Royal New Brunswick Regiment (North Shore)",,2 RNBR,"2nd Battalion, The Royal New Brunswick Regiment (North Shore)",
2 RNBR,"2nd Battalion, The Royal New Brunswick Regiment (North Shore)",,2 RNBR,"2e Bataillon, The Royal New Brunswick Regiment (North Shore)",
20 Fd Regt,20th Field Regiment,,20 RAC,20e Régiment d'artillerie de campagne,
20 RAC,20e Régiment d'artillerie de campagne,,20 Fd Regt,20th Field Regiment,
26 Fd Regt,26th Field Regiment,,26 RAC,26e Régiment d'artillerie de campagne,
26 RAC,26e Régiment d'artillerie de campagne,,26 Fd Regt,26th Field Regiment,
2IC,second in command,,cmdtA,commandant adjoint,
2Lt,second lieutenant,,slt,sous-lieutenant,
3 ASG CE,3 Area Support Group Construction Engineering,,GC 3 GSS,3e Groupe de soutien de secteur génie construction,
3 Fd Regt,3rd Field Regiment,,3 RAC,3e Régiment d'artillerie de campagne,
GC 3 GSS,3e Groupe de soutien de secteur génie construction,,3 ASG CE,3 Area Support Group Construction Engineering,
3 RG,3e Régiment d'artillerie de campagne,,3 Fd Regt,3rd Field Regiment,
30 Fd Regt,30th Field Regiment,,30 RAC,30e Régiment d'artillerie de campagne,
30 RAC,30e Régiment d'artillerie de campagne,,30 Fd Regt,30th Field Regiment,
31 MP Pl,31 Military Police Platoon,,31 Pon PM,31e Peleton de police militaire,
31 Pon PM,31e Peleton de police militaire,,31 MP Pl,31 Military Police Platoon,
34 CBG Band,34 Canadian Brigade Group Band,,M/34 GBC,"Musique, 34e Groupe-brigade du Canada",
"35 CBG HQ, MP Coy","35 Canadian Brigade Group Headquarters, Military Police Company",,"QG 35 GBC, Cie PM","Quartier général du 35e Groupe-brigade du Canada, compagnie de police militaire",
36 CBG Band,36 Canadian Brigade Group Band,,M/36 GBC,"Musique, 36e Groupe-brigade du Canada",
48 EG,48e Escadron du génie,,48 FES,48 Field Engineer Squadron,
48 FES,48 Field Engineer Squadron,,48 EG,48e Escadron du génie,
49 Fd Regt,49th (Sault-Sainte-Marie) Field Regiment,,49 RAC,49e (Sault-Sainte-Marie) Régiment d'artillerie de campagne,
